Rank,Country,Life Expectancy (both sexes),Females Life Expectancy,Males Life Expectancy
1,Monaco,86.73,88.85,84.78
2,San Marino,86.03,87.44,84.54
3,Hong Kong,85.9,88.51,83.22
4,Japan,85.15,88.18,82.13
5,South Korea,84.64,87.51,81.56
6,Saint Barthelemy,84.63,87.14,81.81
7,Andorra,84.46,86.48,82.55
8,French Polynesia,84.44,86.86,82.16
9,Switzerland,84.37,86.2,82.48
10,Australia,84.34,86.07,82.59
11,Italy,84.18,86.13,82.12
12,Singapore,84.13,86.6,81.67
13,Spain,84.08,86.71,81.4
14,Liechtenstein,84.06,85.64,82.39
15,R̩union,83.92,86.68,80.94
16,Gibraltar,83.9,86.45,81.33
17,Malta,83.78,85.63,81.88
18,Norway,83.76,85.21,82.31
19,Sweden,83.73,85.45,82.03
20,France,83.7,86.42,80.86
21,Macao,83.6,85.64,81.47
22,Holy See,83.41,85.44,81.31
23,United Arab Emirates,83.39,84.55,82.56
24,Iceland,83.3,84.69,81.96
25,Canada,83.05,85.16,80.94
26,Martinique,83.04,85.95,79.81
27,Ireland,82.92,84.86,81.01
28,Israel,82.9,84.94,80.8
29,Portugal,82.89,85.51,80.11
30,Qatar,82.83,83.72,82.13
31,Bermuda,82.83,86.14,79.44
32,Luxembourg,82.64,84.17,81.08
33,Netherlands,82.61,84.1,81.09
34,Belgium,82.59,84.69,80.46
35,Guadeloupe,82.56,85.88,78.75
36,New Zealand,82.52,84.1,80.93
37,Austria,82.45,84.69,80.17
38,Finland,82.4,85.02,79.8
39,Greece,82.39,84.73,79.95
40,Denmark,82.39,84.19,80.57
41,Puerto Rico,82.27,85.63,78.72
42,Cyprus,82.15,84.05,80.24
43,Slovenia,82.09,84.69,79.54
44,Germany,81.86,84.11,79.62
45,United Kingdom,81.75,83.57,79.89
46,Bahrain,81.74,82.4,81.21
47,Maldives,81.73,83.34,80.44
48,Chile,81.72,83.51,79.88
49,Isle of Man,81.39,83.4,79.42
50,Costa Rica,81.38,83.87,78.84
51,Taiwan,81.14,84.02,78.32
52,Kuwait,80.97,82.3,79.83
53,Cayman Islands,80.9,83.28,78.62
54,Saint Martin,80.85,84.21,77.43
55,Faeroe Islands,80.81,83.02,78.87
56,Oman,80.65,82.36,79.17
57,Czech Republic (Czechia),80.25,82.96,77.53
58,Panama,80.15,82.99,77.33
59,Albania,80.13,81.89,78.33
60,Anguilla,79.86,83.05,76.67
61,Falkland Islands,79.78,81.7,77.81
62,United States,79.76,82.23,77.39
63,Estonia,79.64,83.42,75.57
64,Saudi Arabia,79.4,81.67,77.78
65,New Caledonia,79.23,81.67,76.83
66,Northern Mariana Islands,79.22,81.12,77.59
67,Poland,79.15,82.74,75.53
68,Croatia,79.09,82.09,76.01
69,Wallis & Futuna,79.03,80.0,78.05
70,China,79.02,81.78,76.38
71,Slovakia,78.81,81.98,75.6
72,Cuba,78.62,81.0,76.25
73,Uruguay,78.62,82.29,74.78
74,Turks and Caicos,78.5,80.72,76.35
75,Bosnia and Herzegovina,78.42,81.38,75.09
76,Turkey,78.38,81.33,75.5
77,Jordan,78.3,80.6,76.24
78,Peru,78.3,80.61,76.02
79,Colombia,78.27,80.92,75.57
80,Iran,78.25,80.17,76.43
81,Lebanon,78.22,80.11,76.17
82,Antigua and Barbuda,78.11,80.75,75.12
83,Sri Lanka,78.03,81.04,74.85
84,Caribbean Netherlands,77.95,80.6,75.75
85,Ecuador,77.94,80.62,75.28
86,Argentina,77.83,80.28,75.3
87,North Macedonia,77.81,79.96,75.56
88,Guam,77.81,81.88,74.11
89,British Virgin Islands,77.76,80.46,75.05
90,Montenegro,77.6,80.74,74.31
91,French Guiana,77.54,80.44,74.71
92,Hungary,77.5,80.61,74.26
93,State of Palestine,77.42,79.75,74.96
94,Tokelau,77.42,79.28,75.33
95,Cura̤ao,77.34,81.22,73.06
96,Serbia,77.33,80.5,74.09
97,Saint Helena,77.3,80.97,74.35
98,Saint Pierre & Miquelon,77.28,81.87,73.34
99,Malaysia,77.16,79.82,74.81
100,Tunisia,77.1,79.68,74.55
101,Thailand,77.06,81.36,72.92
102,Algeria,76.89,78.34,75.5
103,Sint Maarten,76.86,79.92,74.17
104,Aruba,76.78,79.19,74.14
105,Montserrat,76.66,79.23,74.58
106,Barbados,76.64,79.05,74.09
107,Latvia,76.63,80.85,72.13
108,Mayotte,76.61,78.85,74.63
109,Cabo Verde,76.56,79.68,73.44
110,Lithuania,76.48,81.05,71.81
111,Romania,76.4,79.95,72.91
112,Brazil,76.37,79.46,73.33
113,Armenia,76.18,79.87,71.95
114,U.S. Virgin Islands,76.15,81.73,71.17
115,Bulgaria,76.13,79.66,72.7
116,Morocco,75.86,78.13,73.71
117,Cook Islands,75.85,79.48,72.44
118,Brunei,75.83,78.07,73.81
119,Grenada,75.67,78.78,72.83
120,Mexico,75.63,78.35,72.82
121,Bangladesh,75.47,77.22,73.82
122,Mauritius,75.44,78.65,72.46
123,Nicaragua,75.43,77.9,72.81
124,Libya,75.18,77.83,72.71
125,Vietnam,75.05,79.62,70.42
126,Ukraine,75.02,79.67,70.18
127,Bahamas,75.01,78.59,71.37
128,Georgia,74.98,79.49,70.11
129,Belarus,74.97,79.52,70.14
130,Azerbaijan,74.89,77.6,72.02
131,Kazakhstan,74.81,78.77,70.59
132,Paraguay,74.24,77.35,71.25
133,Dominican Republic,74.12,77.35,70.92
134,Belize,74.08,77.0,71.4
135,Suriname,74.04,77.26,70.87
136,North Korea,73.98,76.16,71.77
137,Trinidad and Tobago,73.89,77.1,70.77
138,Bhutan,73.8,75.84,72.08
139,Russia,73.7,79.46,67.91
140,Syria,73.43,75.91,70.96
141,Tonga,73.39,76.84,69.79
142,Honduras,73.39,76.03,70.8
143,Seychelles,73.28,76.98,70.37
144,American Samoa,73.25,76.28,70.55
145,Saint Lucia,73.15,76.75,69.74
146,Guatemala,73.04,75.37,70.71
147,Venezuela,73.01,76.99,69.22
148,Uzbekistan,72.78,75.84,69.79
149,El Salvador,72.74,76.91,68.23
150,India,72.72,74.39,71.16
151,Iraq,72.63,74.45,70.67
152,Saint Kitts & Nevis,72.58,76.44,68.96
153,Mongolia,72.49,77.11,68.01
154,Tajikistan,72.19,74.45,69.89
155,Egypt,72.16,74.41,69.98
156,Kyrgyzstan,72.11,75.7,68.56
157,Samoa,72.08,74.14,70.17
158,Vanuatu,72.02,74.49,69.89
159,Western Sahara,71.98,74.22,70.24
160,Jamaica,71.86,74.45,69.27
161,St. Vincent & Grenadines,71.65,74.78,69.01
162,Dominica,71.62,75.06,68.63
163,Moldova,71.6,75.93,66.96
164,Indonesia,71.58,73.77,69.42
165,Nepal,71.16,72.7,69.56
166,Cambodia,71.14,73.72,68.45
167,Solomon Islands,70.98,72.52,69.58
168,Guyana,70.57,74.35,66.84
169,Turkmenistan,70.45,73.33,67.24
170,Greenland,70.44,72.89,68.42
171,Niue,70.36,73.17,67.75
172,Sao Tome & Principe,70.26,74.26,66.73
173,Philippines,70.17,73.23,67.2
174,Yemen,69.73,71.88,67.63
175,Laos,69.7,72.05,67.47
176,Palau,69.61,72.23,67.44
177,Botswana,69.57,72.17,67.03
178,Eritrea,69.4,71.48,67.23
179,Senegal,69.39,71.51,67.42
180,Mauritania,69.16,71.2,67.09
181,Bolivia,69.06,71.69,66.56
182,Uganda,68.92,71.83,65.9
183,Gabon,68.88,71.64,66.4
184,Rwanda,68.47,70.63,66.12
185,Timor-Leste,68.33,70.14,66.66
186,Ethiopia,68.15,71.58,64.88
187,Pakistan,68.06,70.61,65.69
188,Malawi,67.92,71.14,64.61
189,Namibia,67.81,71.78,63.73
190,Fiji,67.77,69.9,65.73
191,Micronesia,67.65,71.57,63.9
192,Tanzania,67.63,70.44,64.78
193,Tuvalu,67.56,71.19,64.2
194,Myanmar,67.5,70.8,64.37
195,Comoros,67.48,69.69,65.43
196,Marshall Islands,67.32,69.76,65.21
197,Sudan,66.89,70.21,63.78
198,Zambia,66.88,69.27,64.42
199,Kiribati,66.86,68.63,64.91
200,Afghanistan,66.77,68.33,65.15
201,South Africa,66.66,70.16,63.12
202,Djibouti,66.61,69.18,64.11
203,Papua New Guinea,66.5,69.47,64.04
204,Gambia,66.45,68.18,64.71
205,Congo,66.42,68.17,64.7
206,Ghana,66.08,68.57,63.67
207,Haiti,65.45,68.83,62.21
208,Angola,65.17,67.73,62.62
209,Guinea-Bissau,64.59,66.91,62.13
210,Eswatini,64.54,67.41,61.58
211,Cameroon,64.51,66.79,62.3
212,Equatorial Guinea,64.3,66.33,62.59
213,Madagascar,64.25,66.06,62.51
214,Kenya,64.19,66.51,61.96
215,Mozambique,64.14,67.11,60.83
216,Burundi,64.14,66.24,62.04
217,Zimbabwe,63.63,65.9,61.01
218,Togo,63.33,63.61,63.03
219,Liberia,62.62,63.97,61.27
220,Nauru,62.61,64.55,60.68
221,C̫te d'Ivoire,62.44,64.66,60.47
222,DR Congo,62.39,64.57,60.25
223,Sierra Leone,62.33,64.09,60.57
224,Niger,61.88,62.9,60.9
225,Burkina Faso,61.65,63.81,59.45
226,Benin,61.32,62.81,59.84
227,Guinea,61.23,62.45,59.95
228,Mali,61.11,62.62,59.66
229,Somalia,59.26,61.86,56.77
230,Lesotho,58.63,61.29,55.85
231,Central African Republic,58.15,60.06,55.97
232,South Sudan,57.97,60.98,54.99
233,Chad,55.58,57.56,53.68
234,Nigeria,54.95,55.3,54.6
